index,key,english,thai,status,notes
0,UI/ButtonContinue,Continue,ดำเนินการต่อ,draft,
1,UI/ButtonNo,No,ไม่,draft,
2,UI/ButtonOk,OK,ตกลง,draft,
3,UI/ButtonOkay,OK,ตกลง,draft,
4,UI/ButtonQuit,Quit,ออกจากเกม,draft,
5,UI/ButtonYes,Yes,ใช่,draft,
6,UI/BuyButton,Buy,ซื้อ,draft,
7,UI/ButtonBinding,Controls,การควบคุม,draft,
8,UI/ConfirmQuitText,Are you sure you want to quit?,คุณแน่ใจหรือไม่ว่าต้องการออกจากเกม?,draft,
9,UI/ExitButton,Quit,ออกจากเกม,draft,
10,UI/HintSkip,Skip,ข้าม,draft,
11,UI/HintSkipAll,Skip all,ข้ามทั้งหมด,draft,
12,UI/PressAnyKey,Press any key,กดปุ่มใดก็ได้,draft,
13,UI/OptLangRussian,Русский,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
14,UI/OptLangEng,English,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
15,UI/OptLangChS,简体中文,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
16,UI/OptLangFr,Français,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
17,UI/OptLangGm,Deutsch,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
18,UI/OptLangSp,Español,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
19,UI/OptLangBr,Português (Brasil),,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
20,UI/OptLangChT,繁體中文,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
21,UI/OptLangKr,한국어,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
22,UI/OptLangPl,Polski,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
23,UI/OptLangJp,日本語,,excluded,[excluded] ชื่อภาษาในภาษาต้นฉบับของผู้ใช้
24,UI/OptSFX,Sound FX volume,ระดับเสียงเอฟเฟกต์,draft,
25,UI/OptMus,Music volume,ระดับเสียงเพลง,draft,
26,UI/OptRes,Resolution,ความละเอียด,draft,
27,UI/OptWind,Window mode,โหมดหน้าต่าง,draft,
28,UI/OptWindW,Windowed,หน้าต่าง,draft,
29,UI/OptWindB,Borderless,ไร้ขอบ,draft,
30,UI/OptWindF,Fullscreen,เต็มหน้าจอ,draft,
31,UI/OptSD,Steam Deck,,excluded,[excluded] ชื่อผลิตภัณฑ์ Steam Deck
32,UI/OptApply,Apply,นำไปใช้,draft,
33,UI/OptBack,Back,ย้อนกลับ,draft,
34,UI/OptChange,Apply changes?,นำการเปลี่ยนแปลงไปใช้หรือไม่?,draft,
35,UI/OptTimer,The settings will be applied in {0},การตั้งค่าจะมีผลใน {0},draft,
36,UI/OptPTSurvey,Take the survey,ทำแบบสำรวจ,draft,
37,UI/OptWish,Wishlist,เพิ่มในรายการที่อยากได้,draft,
38,UI/OptDayReset,Start the day over,เริ่มวันนี้ใหม่,draft,
39,UI/OptDayBackward,Load previous day,โหลดวันก่อนหน้า,draft,
40,UI/OptMM,Back to Main Menu,กลับไปเมนูหลัก,draft,
